id,reservationNumber,passengers,rider,serviceLevel,reservationTime,rideStartedTime,rideEndTime,latitude,longitude,waitingTime,hourofday,dayofweek,startLoc,endLoc,rideDuration,dashrideid,distance,condition
5722128104c782724dd0876b,22A-79C1B,1,572212778de26570ef933043,Any vehicle,2016-04-28 13:37:00.000,2016-04-28 13:51:29.000,2016-04-28 13:58:38.578,33.95,-84.25,14.4833333333,13,Thursday,"-84.25, 33.95","-84.24, 33.95",7.0,3241.0,0.861731485002,start
577523dcfecc95defe6bf939,2F1-E5D3A,1,576b38bf934cf01b9a480853,Any vehicle,2016-06-30 13:50:00.000,2016-06-30 14:07:13.000,2016-06-30 14:16:24.414,33.95,-84.25,17.2166666667,13,Thursday,"-84.25, 33.95","-84.27, 33.93",9.0,6373.0,2.07400313469,start
577e5949354c9e75f8f12e0b,308-6F335,1,57310971e1e0376d9f87ea1e,Any vehicle,2016-07-07 13:29:00.000,2016-07-07 13:41:54.000,2016-07-07 13:49:49.177,33.95,-84.25,12.9,13,Thursday,"-84.25, 33.95","-84.28, 33.94",7.0,6826.0,1.83182996926,start
577e5dafd8ea6f70f823af09,308-7AE4A,1,57729f7010cbf2d3fe10c398,Any vehicle,2016-07-07 13:47:00.000,2016-07-07 14:03:19.000,2016-07-07 14:14:18.913,33.95,-84.25,16.3166666667,13,Thursday,"-84.25, 33.95","-84.26, 33.95",10.0,6829.0,0.394661623104,start
57a33effced908dc985da8f4,371-0854F,1,5720c1d804c782724dd08478,Any vehicle,2016-08-04 13:11:00.000,2016-08-04 13:23:19.000,2016-08-04 13:31:36.744,33.95,-84.25,12.3166666667,13,Thursday,"-84.25, 33.95","-84.22, 33.96",8.0,9788.0,2.05363648362,start
57a3441cd84ffa39f143a68d,371-17314,1,57a3441b217dced29816642c,Any vehicle,2016-08-04 13:32:00.000,2016-08-04 13:42:04.000,2016-08-04 13:50:31.935,33.95,-84.25,10.0666666667,13,Thursday,"-84.25, 33.95","-84.22, 33.96",8.0,9792.0,2.05933734196,start
57ac79448ba502675b560b8c,38E-45A3A,1,573279df3cffb3945749c53e,Any vehicle,2016-08-11 13:10:00.000,2016-08-11 13:20:33.000,2016-08-11 13:42:03.657,33.95,-84.25,10.55,13,Thursday,"-84.25, 33.95","-84.26, 33.84",21.0,10887.0,7.7404148816,start
57ac83385b52f86c573444f1,38E-713F,1,57310971e1e0376d9f87ea1e,Any vehicle,2016-08-11 13:52:00.000,2016-08-11 13:59:35.000,2016-08-11 14:16:14.005,33.95,-84.25,7.58333333333,13,Thursday,"-84.25, 33.95","-84.28, 33.94",16.0,10895.0,1.82412296312,start
57b5be36c660abbb8711584a,3AF-EF950,1,572212778de26570ef933043,Any vehicle,2016-08-18 13:54:00.000,2016-08-18 14:10:52.000,2016-08-18 14:18:45.559,33.95,-84.25,16.8666666667,13,Thursday,"-84.25, 33.95","-84.24, 33.95",7.0,11949.0,0.866127655064,start
57b5bf81c660abbb87115859,3AF-F5F5F,1,576b38bf934cf01b9a480853,Any vehicle,2016-08-18 13:59:00.000,2016-08-18 14:13:45.000,2016-08-18 14:17:53.690,33.95,-84.25,14.75,13,Thursday,"-84.25, 33.95","-84.26, 33.93",4.0,11950.0,1.33947615842,start
57bef2c488409f612f034d08,3D4-98AA,1,57310971e1e0376d9f87ea1e,Any vehicle,2016-08-25 13:28:00.000,2016-08-25 13:39:38.000,2016-08-25 13:48:40.688,33.95,-84.25,11.6333333333,13,Thursday,"-84.25, 33.95","-84.28, 33.94",9.0,13052.0,1.82547568793,start
57bef5ec48f71f91657bfa4b,3D4-A673D,1,5720c1d804c782724dd08478,Any vehicle,2016-08-25 13:42:00.000,2016-08-25 13:50:52.000,2016-08-25 13:57:20.362,33.95,-84.25,8.86666666667,13,Thursday,"-84.25, 33.95","-84.24, 33.95",6.0,13055.0,0.928204758409,start
57c82d6c794cd82d95d3a5bb,3F9-FA959,1,573793c61aae88cfc98ff9f9,Any vehicle,2016-09-01 13:29:00.000,2016-09-01 13:51:21.000,2016-09-01 13:51:24.921,33.95,-84.25,22.35,13,Thursday,"-84.25, 33.95","-84.22, 33.98",0.0,14116.0,2.62881291263,start
57d1692257b273543470b3ea,41D-9B135,1,57a77bea217dced298167bf4,Any vehicle,2016-09-08 13:35:00.000,2016-09-08 13:52:05.000,2016-09-08 14:01:39.233,33.95,-84.25,17.0833333333,13,Thursday,"-84.25, 33.95","-84.22, 33.97",9.0,15040.0,1.71061651118,start
57da9eca6119c9025971c25f,442-99226,1,574212ec34143815e2b5a80c,Any vehicle,2016-09-15 13:14:00.000,2016-09-15 13:26:22.000,2016-09-15 13:41:34.002,33.95,-84.25,12.3666666667,13,Thursday,"-84.25, 33.95","-84.3, 33.89",15.0,16141.0,4.90358051394,start
