rideCount,endLoc,dayofweek,hourofday,end_lt,end_lg
6,"-84.18, 33.92",Friday,0,33.92,-84.18
7,"-84.2, 33.89",Friday,0,33.89,-84.2
5,"-84.2, 33.93",Friday,0,33.93,-84.2
5,"-84.21, 33.91",Friday,0,33.91,-84.21
5,"-84.21, 33.94",Friday,0,33.94,-84.21
15,"-84.21, 33.96",Friday,0,33.96,-84.21
12,"-84.22, 33.92",Friday,0,33.92,-84.22
5,"-84.22, 33.93",Friday,0,33.93,-84.22
5,"-84.23, 33.93",Friday,0,33.93,-84.23
21,"-84.25, 33.94",Friday,0,33.94,-84.25
14,"-84.25, 33.95",Friday,0,33.95,-84.25
7,"-84.26, 33.91",Friday,0,33.91,-84.26
15,"-84.26, 33.94",Friday,0,33.94,-84.26
15,"-84.26, 33.95",Friday,0,33.95,-84.26
10,"-84.18, 33.92",Friday,1,33.92,-84.18
6,"-84.2, 33.92",Friday,1,33.92,-84.2
5,"-84.21, 33.9",Friday,1,33.9,-84.21
7,"-84.21, 33.91",Friday,1,33.91,-84.21
7,"-84.21, 33.93",Friday,1,33.93,-84.21
11,"-84.21, 33.96",Friday,1,33.96,-84.21
7,"-84.22, 33.92",Friday,1,33.92,-84.22
5,"-84.22, 33.96",Friday,1,33.96,-84.22
5,"-84.24, 33.94",Friday,1,33.94,-84.24
17,"-84.25, 33.94",Friday,1,33.94,-84.25
9,"-84.25, 33.95",Friday,1,33.95,-84.25
6,"-84.26, 33.94",Friday,1,33.94,-84.26
13,"-84.26, 33.95",Friday,1,33.95,-84.26
6,"-84.28, 33.9",Friday,1,33.9,-84.28
6,"-84.18, 33.92",Friday,2,33.92,-84.18
6,"-84.19, 33.91",Friday,2,33.91,-84.19
5,"-84.2, 33.89",Friday,2,33.89,-84.2
5,"-84.2, 33.92",Friday,2,33.92,-84.2
9,"-84.21, 33.93",Friday,2,33.93,-84.21
19,"-84.21, 33.96",Friday,2,33.96,-84.21
15,"-84.25, 33.94",Friday,2,33.94,-84.25
19,"-84.25, 33.95",Friday,2,33.95,-84.25
13,"-84.26, 33.94",Friday,2,33.94,-84.26
11,"-84.26, 33.95",Friday,2,33.95,-84.26
7,"-84.26, 33.96",Friday,2,33.96,-84.26
5,"-84.27, 33.94",Friday,2,33.94,-84.27
5,"-84.28, 33.9",Friday,2,33.9,-84.28
5,"-84.14, 33.95",Friday,3,33.95,-84.14
6,"-84.16, 33.95",Friday,3,33.95,-84.16
5,"-84.18, 33.92",Friday,3,33.92,-84.18
13,"-84.19, 33.91",Friday,3,33.91,-84.19
9,"-84.21, 33.96",Friday,3,33.96,-84.21
6,"-84.25, 33.94",Friday,3,33.94,-84.25
8,"-84.25, 33.95",Friday,3,33.95,-84.25
12,"-84.26, 33.94",Friday,3,33.94,-84.26
8,"-84.26, 33.95",Friday,3,33.95,-84.26
5,"-84.27, 33.93",Friday,3,33.93,-84.27
5,"-84.28, 33.9",Friday,3,33.9,-84.28
6,"-84.12, 33.91",Friday,4,33.91,-84.12
5,"-84.2, 33.92",Friday,4,33.92,-84.2
