rideCount,loc,dayofweek,hourofday,lt,lg,condition
5,"-84.56, 33.88",Friday,0,33.88,-84.56,start
5,"-84.56, 33.88",Friday,0,33.88,-84.56,start
5,"-84.56, 33.88",Friday,0,33.88,-84.56,start
5,"-84.56, 33.88",Friday,0,33.88,-84.56,start
5,"-84.56, 33.88",Friday,0,33.88,-84.56,start
5,"-84.28, 33.9",Friday,0,33.9,-84.28,start
5,"-84.28, 33.9",Friday,0,33.9,-84.28,start
5,"-84.28, 33.9",Friday,0,33.9,-84.28,start
5,"-84.28, 33.9",Friday,0,33.9,-84.28,start
5,"-84.28, 33.9",Friday,0,33.9,-84.28,start
6,"-84.26, 33.94",Friday,0,33.94,-84.26,start
6,"-84.26, 33.94",Friday,0,33.94,-84.26,start
6,"-84.26, 33.94",Friday,0,33.94,-84.26,start
6,"-84.26, 33.94",Friday,0,33.94,-84.26,start
6,"-84.26, 33.94",Friday,0,33.94,-84.26,start
6,"-84.26, 33.94",Friday,0,33.94,-84.26,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
17,"-84.25, 33.94",Friday,0,33.94,-84.25,start
8,"-84.24, 33.96",Friday,0,33.96,-84.24,start
8,"-84.24, 33.96",Friday,0,33.96,-84.24,start
8,"-84.24, 33.96",Friday,0,33.96,-84.24,start
8,"-84.24, 33.96",Friday,0,33.96,-84.24,start
8,"-84.24, 33.96",Friday,0,33.96,-84.24,start
8,"-84.24, 33.96",Friday,0,33.96,-84.24,start
8,"-84.24, 33.96",Friday,0,33.96,-84.24,start
8,"-84.24, 33.96",Friday,0,33.96,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
24,"-84.24, 33.95",Friday,0,33.95,-84.24,start
5,"-84.24, 33.94",Friday,0,33.94,-84.24,start
5,"-84.24, 33.94",Friday,0,33.94,-84.24,start
5,"-84.24, 33.94",Friday,0,33.94,-84.24,start
5,"-84.24, 33.94",Friday,0,33.94,-84.24,start
5,"-84.24, 33.94",Friday,0,33.94,-84.24,start
6,"-84.23, 33.94",Friday,0,33.94,-84.23,start
6,"-84.23, 33.94",Friday,0,33.94,-84.23,start
6,"-84.23, 33.94",Friday,0,33.94,-84.23,start
6,"-84.23, 33.94",Friday,0,33.94,-84.23,start
6,"-84.23, 33.94",Friday,0,33.94,-84.23,start
6,"-84.23, 33.94",Friday,0,33.94,-84.23,start
5,"-84.23, 33.93",Friday,0,33.93,-84.23,start
5,"-84.23, 33.93",Friday,0,33.93,-84.23,start
5,"-84.23, 33.93",Friday,0,33.93,-84.23,start
5,"-84.23, 33.93",Friday,0,33.93,-84.23,start
5,"-84.23, 33.93",Friday,0,33.93,-84.23,start
6,"-84.22, 33.97",Friday,0,33.97,-84.22,start
6,"-84.22, 33.97",Friday,0,33.97,-84.22,start
6,"-84.22, 33.97",Friday,0,33.97,-84.22,start
6,"-84.22, 33.97",Friday,0,33.97,-84.22,start
6,"-84.22, 33.97",Friday,0,33.97,-84.22,start
6,"-84.22, 33.97",Friday,0,33.97,-84.22,start
6,"-84.22, 33.93",Friday,0,33.93,-84.22,start
6,"-84.22, 33.93",Friday,0,33.93,-84.22,start
6,"-84.22, 33.93",Friday,0,33.93,-84.22,start
6,"-84.22, 33.93",Friday,0,33.93,-84.22,start
6,"-84.22, 33.93",Friday,0,33.93,-84.22,start
6,"-84.22, 33.93",Friday,0,33.93,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
10,"-84.22, 33.92",Friday,0,33.92,-84.22,start
7,"-84.21, 33.96",Friday,0,33.96,-84.21,start
7,"-84.21, 33.96",Friday,0,33.96,-84.21,start
7,"-84.21, 33.96",Friday,0,33.96,-84.21,start
7,"-84.21, 33.96",Friday,0,33.96,-84.21,start
7,"-84.21, 33.96",Friday,0,33.96,-84.21,start
7,"-84.21, 33.96",Friday,0,33.96,-84.21,start
